HoleDiameter,PlateWidth,Thickness,Max_vM_Stress_MPa,MaxDisp_mm,Msg,FEA_Runtime,material,timestamp
10.0,60.0,5.0,457.54456283811305,0.4912761349335423,,1.828125,Al6061,2025-10-12 23:15:27.620829
10.0,60.0,7.5,301.5228018309726,0.32748926086972685,,1.609375,Al6061,2025-10-12 23:15:27.620829
10.0,60.0,10.0,223.7360566989818,0.2455902962096833,,1.640625,Al6061,2025-10-12 23:15:27.620829
10.0,60.0,12.5,177.33004209670733,0.19644851101396138,,1.421875,Al6061,2025-10-12 23:15:27.620829
10.0,60.0,15.0,146.61269753813957,0.16368831219530885,,1.546875,Al6061,2025-10-12 23:15:27.620829
20.0,60.0,5.0,556.5708108553125,0.525018514625494,,1.734375,Al6061,2025-10-12 23:15:27.620829
20.0,60.0,7.5,369.291601137773,0.34999182492579733,,1.640625,Al6061,2025-10-12 23:15:27.620829
20.0,60.0,10.0,275.4769701173403,0.2624639655520163,,1.46875,Al6061,2025-10-12 23:15:27.620829
20.0,60.0,12.5,219.10971032405203,0.2099358513970039,,1.328125,Al6061,2025-10-12 23:15:27.620829
20.0,60.0,15.0,181.51884316539812,0.1749081136916421,,1.484375,Al6061,2025-10-12 23:15:27.620829
30.0,60.0,5.0,706.6371253128157,0.5984234672036183,,1.5625,Al6061,2025-10-12 23:15:27.620829
30.0,60.0,7.5,469.61197021822176,0.3989284393712863,,1.375,Al6061,2025-10-12 23:15:27.620829
30.0,60.0,10.0,350.8704134088824,0.29916391711227475,,1.359375,Al6061,2025-10-12 23:15:27.620829
30.0,60.0,12.5,279.48187885007786,0.23928860715425315,,1.28125,Al6061,2025-10-12 23:15:27.620829
30.0,60.0,15.0,231.81425884493154,0.1993554132278552,,1.75,Al6061,2025-10-12 23:15:27.620829
40.0,60.0,5.0,1035.534806832065,0.7564091371162832,,1.171875,Al6061,2025-10-12 23:15:27.620829
40.0,60.0,7.5,688.2197684127761,0.5042355191488993,,1.296875,Al6061,2025-10-12 23:15:27.620829
40.0,60.0,10.0,514.1297255440597,0.37811570454076626,,1.234375,Al6061,2025-10-12 23:15:27.620829
40.0,60.0,12.5,409.40395334210586,0.30241202598720907,,1.421875,Al6061,2025-10-12 23:15:27.620829
40.0,60.0,15.0,339.463444631264,0.25191492223951245,,1.21875,Al6061,2025-10-12 23:15:27.620829
50.0,60.0,5.0,2002.9610646748795,1.177641676520872,,1.1875,Al6061,2025-10-12 23:15:27.620829
